Restaurant Name,Dining Rating,Delivery Rating,Dining Votes,Delivery Votes,Cuisine ,Place Name,City,Item Name,Best Seller,Votes,Prices
Faasos - Wraps & Rolls,,4.0,0,0,Rolls,Abids, Hyderabad,(Serves 2) Double Value Egg Wrap & Chicken Bowl Meal (Non-Veg),,0,389.0
KFC,3.7,3.8,917,0,Beverages,R Deccan Mall, Pune,Hot & Crispy Chicken -2pc,,10,229.52
Hot Pizza Ace,,3.6,0,0,Shake,Gomti Nagar, Lucknow,Onion Cheese Pizza [7 Inches],MUST TRY,124,129.0
Hatari,3.8,4.2,43,166,Pizza,Bow Bazar, Kolkata,Egg Corn Veg Rice,,0,297.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Raj Restaurant,3.8,4.1,345,0,Biryani,Chembur, Mumbai,Fish Amritsari Tikka,,0,600.0
Burger Xpress,3.7,3.9,2,0,Shake,Mukherjee Nagar, New Delhi,Mayo Dip,,0,30.0
Jassi De Parathe,4.3,4.3,0,0,Beverages,Vastrapur, Ahmedabad,Paneer Da Paratha.,,230,230.0
Big Fat Momo,4.3,4.1,426,0,Fast Food,Kacheripady, Kochi,Paneer Fried Momos,BESTSELLER,26,110.0
Little Hut,3.6,4.0,177,570,BBQ,Anna Nagar West, Chennai,Kadai Prawns,,0,327.0
RK Pure Veg,3.7,3.8,208,0,Sichuan,Vishrantwadi, Pune,Kerala Dry Fry,,0,200.0
WOW! China,4.0,3.8,77,709,Seafood,Aminijikarai, Chennai,Paneer Schezwan Sauce Regular,SPICY,5,235.0
Anjappar,3.1,3.8,74,0,Beverages,Parrys, Chennai,Masala Papad,,0,85.0
McDonald's,3.2,3.9,137,0,Fast Food,MPM Mall, Hyderabad,Chicken McNuggets - 9 Pcs,BESTSELLER,91,199.03
Domino's Pizza,3.1,4.0,814,0,Fast Food,C Scheme, Jaipur,Onion,,113,69.0
Scoops Ice Cream,3.3,4.4,6,915,Pizza,Charminar, Hyderabad,Anjeer Badam,,0,271.18
London Yard Pizza,3.4,3.7,127,0,Beverages,Paldi, Ahmedabad,Stuffed Garlic Bread,,323,169.0
Truffles,4.6,4.3,0,0,Desserts,St. Marks Road, Bangalore,Bianca Pasta Non-Veg,,20,252.39
Sher-E-Punjab,3.3,3.7,310,0,Pizza,Theatre Road, Kolkata,Prawns Fried Rice,,0,280.0
JBT Jaipur Burger Truck,3.9,4.2,15,0,Fast Food,Vaishali Nagar, Jaipur,Strawberry Shake,,0,210.0
Gajanand Pauva House,3.7,3.9,15,214,Shake,Navrangpura, Ahmedabad,Cheese Jam Maka Bun,,0,100.0
Samco,3.8,4.2,634,0,Beverages,Alwarpet, Chennai,Butter Scotch Shake,,0,173.0
Hyderabadi Laziz,3.8,3.5,74,0,Hyderabadi,Karve Nagar, Pune,Iced Tea (300 ml),,0,130.0
Burger Singh - Big Punjabi Burgers,3.8,4.2,11,210,Fast Food,Raja Park, Jaipur,Cheesy Fries Hot Shock,,0,149.0
99 Pancakes,3.8,4.1,92,659,Beverages,Matunga East, Mumbai,Brownie Temptation [500gm],,0,600.0
SLAY Coffee,,3.9,0,0,Shake,Worli, Mumbai,Masala Paneer Tikka Wrap,,11,179.0
Diggin,4.1,4.2,457,0,Beverages,Connaught Place, New Delhi,Fish & Chips,,23,525.0
Vaishnav Dhaba,,3.9,0,0,South Indian,Gopalpura, Jaipur,Crispy Fry Mashroom,,0,270.0
CA's Kitchen,,3.2,0,852,Pizza,Shankar Nagar, Raipur,Hakka noodles + panner chilli gravy combo,,9,179.0
Harishankar Veg Restro,3.8,4.0,273,0,Beverages,Raja Park, Jaipur,Lahsun Chatani,,0,190.0
Subway,2.7,4.1,449,0,Beverages,Matunga East, Mumbai,Chatpata Chana Salad,,6,270.0
Pizza Potter,4.2,3.8,70,0,Pizza,Aliganj, Lucknow,Country Special Pizza,BESTSELLER,0,189.0
The Matka Biryani,,3.9,0,0,Lucknowi,Lower Parel, Mumbai,Paneer Tikka Kepsa,,24,366.0
Ghar Ka Khana by EatFit,,3.6,0,289,Beverages,Gulbai Tekra, Ahmedabad,Raita,,20,29.0
Nandini Deluxe,3.9,3.7,109,0,BBQ,Banaswadi, Bangalore,Fish Chilly,,0,300.0
Armaani Biryani,,3.6,0,84,Seafood,Arumbakkam, Chennai,Chicken Curry (500ml),,0,229.0
The Kati Roll Shop,4.2,4.0,422,0,Kebab,Gopalapuram, Chennai,Egg Cheese And Mayo Roll,BESTSELLER,7,165.0
Ceylon Bake House,4.0,3.7,415,0,Rolls,Marine Drive, Kochi,3 Porotta With Chicken Chilli Fry,BESTSELLER,38,225.0
Onesta,,3.6,0,197,Beverages,Mantri Square, Bangalore,Tiramisu Jar,,5,99.0
Junior Kuppanna,3.4,3.6,108,0,Beverages,Nungambakkam, Chennai,Schezwan Chicken Semi Gravy,,0,405.0
Uno Dos Tres,3.3,3.6,18,351,Pizza,Civil Lines, Raipur,American Chopsuey,,0,200.0
Lulu Hypermarket,3.9,3.9,23,0,Bakery,Rajajinagar, Bangalore,Red Velvet Muffin 6'S,,0,190.0
Choudhary Dhaba,3.4,3.9,427,0,Chinese,Khatipura Road, Jaipur,Veg Pulao,,15,115.0
Pizzaman,2.8,4.0,7,479,Beverages,Edappally, Kochi,Pizzarma,,16,414.0
Urban Biryani,4.0,4.0,23,0,Pizza,Tatibandh, Raipur,Masala Soda,,0,58.0
Reena Paul's Kitchen,,4.1,0,0,Chinese,Anna Nagar West, Chennai,Chicken Chukka,,31,275.0
KGN Xprs,,3.9,0,940,Sichuan,Aundh, Pune,Veg Hot and Sour Soup,,0,140.0
Sher-E-Punjab,3.3,3.7,310,0,Pizza,Theatre Road, Kolkata,Hunan Fish,,0,310.0
Chef's Kitchen,4.0,3.9,413,0,Pizza,Civil Lines, Raipur,Veg Fried Rice,,8,180.0
Sardaar Ji Chicken Co.,2.8,3.6,10,0,BBQ,Malviya Nagar, Jaipur,Jeera Aloo,,0,205.0
Pizza Wizza,,3.8,0,0,Pizza,Rajajipuram, Lucknow,Plain Garlic Stick,,122,89.0
BBQ Master,3.5,4.1,4,0,Sichuan,Perambur, Chennai,Veg Noodles,,9,156.0
Pizza Olive,,4.2,0,225,Pizza,Devendra Nagar, Raipur,"Capsicum Paneer and Cheese Pizza [Regular, 7 inches]",MUST TRY,28,149.0
Tipsy Topsy Bakery,3.8,3.9,225,0,Chinese,Saroor Nagar, Hyderabad,Paneer Pataka Pizza [8 inches],,0,315.0
Tan-Sukh By Kanha,4.1,4.1,301,0,Desserts,C Scheme, Jaipur,Navratan Korma,,15,380.0
Wat-a-Burger! - India ka Burger,3.8,4.0,71,0,Beverages,Hazratganj, Lucknow,Party Pack For 4 Combo 2,Not eligible for coupons,0,1329.0
Keifer,,3.7,0,140,Shake,Purasavakkam, Chennai,Ginger Lime Juice,,0,89.0
RK Pure Veg,3.7,3.8,208,0,Sichuan,Vishrantwadi, Pune,Green Peas Masala,,8,190.0
Khandelwal Dhaba Purana Wala,3.9,4.0,353,0,South Indian,Sikar Road, Jaipur,Pyaz Parantha,,18,120.0
Lina's Brickoven Newyork Pizzeria,4.4,4.1,72,968,Fast Food,T. Nagar, Chennai,Chickpea Garlic Bread,,0,295.0
Subway,3.1,4.1,310,0,Beverages,FC Road, Pune,Chicken Teriyaki Sandwich,BESTSELLER,46,266.67
Domino's Pizza,2.5,4.0,14,0,Desserts,Rasta Peth, Pune,Veg Loaded,BESTSELLER,34,159.0
A1 Ambur Briyani & Kababs,4.0,3.7,92,0,Chinese,Aminijikarai, Chennai,Mini Bucket Chicken Briyani,,0,650.0
RollsKing,,4.2,0,229,Beverages,Raja Park, Jaipur,RK Special Non Veg Roll,,0,302.0
Pai Brothers Fast Food,4.1,4.2,528,0,Street Food,MG Road, Kochi,Podi Duck Masala Dosa,,0,150.0
Mama Mia!,,4.4,0,0,Pizza,Entally, Kolkata,Vanilla & Chocolate Roll Ice Cream Cake Slice [140g],,25,169.0
Goutam's,2.9,3.6,553,0,Pizza,Sector 1, Kolkata,Egg Chicken Schezwan Rice,,0,180.0
Tan-Sukh By Kanha,4.1,4.1,301,0,Desserts,C Scheme, Jaipur,Salted Fresh Lime Soda,,0,90.0
Hot Pizza Ace,,3.6,0,0,Shake,Gomti Nagar, Lucknow,Tomato and Corn Pizza [7 Inches],,0,179.0
Living Bowls,,3.7,0,604,Juices,Koramangala 7th Block, Bangalore,Spicy Tapioca Chips,,6,39.0
Cups & Cones,4.1,4.0,70,0,Beverages,Vyttila, Kochi,Veg Steamed Momos,BESTSELLER,37,85.0
Shivam Bhojnalay,3.0,3.5,149,0,Gujarati,Gurukul, Ahmedabad,Vegetable Maggi [300 grams],,5,148.0
The Momoz Hub,,4.0,0,183,Beverages,C Scheme, Jaipur,Chicken Chinese Maggi,,0,224.0
Mainland China,,4.1,0,643,Sichuan,Lower Parel, Mumbai,General Taos Chicken,,13,655.0
Apoorva Delicacies,3.8,4.1,654,0,Beverages,Dadar Shivaji Park, Mumbai,Combination Schezwan Fried Rice,,0,330.0
